LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
GreaterGeelong,3.0,3.0,4250.0,0.4,0.75,0.937937937937938,0,0,1,0,0,0,1,0,0,3
MooneeValley,5.0,0.0,2500.0,0.8,0.0,0.7347347347347347,0,0,1,0,1,0,0,0,0,3
Casey,2.0,0.0,0.0,0.2,0.0,0.0,0,0,1,0,0,0,1,0,0,5
Darebin,1.0,1.0,4250.0,0.0,0.25,0.937937937937938,0,0,1,0,0,0,1,0,0,6
Kingston,2.0,1.0,250.0,0.2,0.25,0.0565565565565565,1,0,0,0,0,1,0,0,0,1
YarraRanges,3.0,1.0,1400.0,0.4,0.25,0.4744744744744744,0,0,1,0,0,1,0,0,0,0
Wyndham,2.0,1.0,1125.0,0.2,0.25,0.3763763763763763,0,0,1,0,0,0,1,0,0,5
Whittlesea,2.0,1.0,450.0,0.2,0.25,0.1131131131131131,0,0,1,0,1,0,0,0,0,5
Whitehorse,1.0,1.0,2500.0,0.0,0.25,0.7347347347347347,0,0,0,1,0,1,0,0,0,1
Hume,1.0,0.0,1225.0,0.0,0.0,0.4164164164164164,0,0,1,0,0,1,0,0,0,0
GreaterGeelong,3.0,2.0,3000.0,0.4,0.5,0.8248248248248248,1,0,0,0,0,1,0,0,0,1
Whittlesea,1.0,0.0,3500.0,0.0,0.0,0.8833833833833833,0,0,1,0,1,0,0,0,0,6
Kingston,5.0,2.0,1750.0,0.8,0.5,0.5565565565565566,0,0,1,0,1,0,0,0,0,4
Casey,3.0,2.0,2500.0,0.4,0.5,0.7347347347347347,0,0,1,0,0,0,1,0,0,3
Bayside,4.0,3.0,1325.0,0.6,0.75,0.4284284284284284,1,0,0,0,0,1,0,0,0,1
Moreland,2.0,1.0,2500.0,0.2,0.25,0.7347347347347347,1,0,0,0,0,1,0,0,0,1
Kingston,4.0,2.0,1000.0,0.6,0.5,0.3373373373373373,0,0,1,0,0,0,1,0,0,4
Whittlesea,3.0,1.0,1375.0,0.4,0.25,0.4514514514514514,0,0,1,0,0,0,1,0,0,3
GreaterGeelong,5.0,2.0,350.0,0.8,0.5,0.0845845845845846,0,0,1,0,0,0,1,0,0,4
Whitehorse,6.0,3.0,2850.0,1.0,0.75,0.8048048048048049,0,0,1,0,1,0,0,0,0,3
Hume,4.0,1.0,1375.0,0.6,0.25,0.4514514514514514,0,0,1,0,0,1,0,0,0,0
Melbourne,2.0,0.0,1400.0,0.2,0.0,0.4744744744744744,1,0,0,0,0,1,0,0,0,1
Melbourne,2.0,1.0,3000.0,0.2,0.25,0.8248248248248248,1,0,0,0,1,0,0,0,0,2
Frankston,2.0,1.0,0.0,0.2,0.25,0.0,0,0,1,0,0,0,1,0,0,5
GlenEira,3.0,1.0,4124.0,0.4,0.25,0.927907907907908,0,0,1,0,1,0,0,0,0,3
